Scenario,Lifetime_Years,USD_per_100kg
520W Setup,0.0,inf
520W Setup,0.07537688442211055,169.75862284168923
520W Setup,0.1507537688442211,85.81804659871023
520W Setup,0.22613065326633164,57.83785451771722
520W Setup,0.3015075376884422,43.84775847722073
520W Setup,0.37688442211055273,35.45370085292282
520W Setup,0.4522613065326633,29.857662436724222
520W Setup,0.5276381909547738,25.86049213943951
520W Setup,0.6030150753768844,22.862614416475974
520W Setup,0.6783919597989949,20.530931743059895
520W Setup,0.7537688442211055,18.665585604327024
520W Setup,0.829145728643216,17.139393309000134
520W Setup,0.9045226130653266,15.867566396227724
520W Setup,0.9798994974874371,14.791405162343379
520W Setup,1.0552763819095476,13.868981247585369
520W Setup,1.1306532663316582,13.069547188128425
520W Setup,1.2060301507537687,12.3700423861036
520W Setup,1.2814070351758793,11.75283226666993
520W Setup,1.3567839195979898,11.204201049395559
520W Setup,1.4321608040201004,10.71332048657112
520W Setup,1.507537688442211,10.271527980029125
520W Setup,1.5829145728643215,9.871810950300654
520W Setup,1.658291457286432,9.50843183236568
520W Setup,1.7336683417085426,9.176650898598965
520W Setup,1.809045226130653,8.872518375979475
520W Setup,1.8844221105527637,8.592716455169544
520W Setup,1.9597989949748742,8.334437759037302
520W Setup,2.0351758793969847,8.095290818174114
520W Setup,2.1105527638190953,7.873225801658297
520W Setup,2.185929648241206,7.666475613867707
520W Setup,2.2613065326633164,7.473508771929825
520W Setup,2.336683417085427,7.292991403665354
520W Setup,2.4120603015075375,7.1237563709174125
520W Setup,2.487437185929648,6.964778006820861
520W Setup,2.5628140703517586,6.8151513112005775
520W Setup,2.638190954773869,6.6740747124728825
520W Setup,2.7135678391959797,6.540835702563393
520W Setup,2.78894472361809,6.414798801297658
520W Setup,2.8643216080402008,6.295395421151173
520W Setup,2.9396984924623113,6.182115291268611
520W Setup,3.015075376884422,6.074499167880175
520W Setup,3.0904522613065324,5.972132611486299
520W Setup,3.165829145728643,5.874640653015939
520W Setup,3.2412060301507535,5.781683204241876
520W Setup,3.316582914572864,5.692951094048452
520W Setup,3.3919597989949746,5.608162633196959
520W Setup,3.467336683417085,5.5270606271650955
520W Setup,3.5427135678391957,5.449409770326077
520W Setup,3.618090452261306,5.37499436585535
520W Setup,3.6934673366834168,5.303616324832409
520W Setup,3.7688442211055273,5.235093405450385
520W Setup,3.844221105527638,5.16925765937746
520W Setup,3.9195979899497484,5.105954057384264
520W Setup,3.994974874371859,5.045039270560621
520W Setup,4.0703517587939695,4.98638058695267
520W Setup,4.14572864321608,4.929854946385007
520W Setup,4.221105527638191,4.875348078694761
520W Setup,4.296482412060302,4.822753732677857
520W Setup,4.371859296482412,4.771972984799466
520W Setup,4.447236180904522,4.72291361820509
520W Setup,4.522613065326633,4.675489563830525
520W Setup,4.597989949748744,4.6296203964846345
520W Setup,4.673366834170854,4.58523087969829
520W Setup,4.748743718592964,4.5422505539210345
520W Setup,4.824120603015075,4.5006133633243195
520W Setup,4.899497487437186,4.460257317053656
520W Setup,4.974874371859296,4.421124181276044
520W Setup,5.050251256281406,4.383159198805226
520W Setup,5.125628140703517,4.3463108334659015
520W Setup,5.201005025125628,4.310530536687138
520W Setup,5.276381909547738,4.275772534102054
520W Setup,5.351758793969848,4.241993630181338
520W Setup,5.427135678391959,4.209153029147309
520W Setup,5.50251256281407,4.177212170607362
520W Setup,5.57788944723618,4.146134578514442
520W Setup,5.6532663316582905,4.115885722210665
520W Setup,5.7286432160804015,4.086432888441199
520W Setup,5.8040201005025125,4.057745063341069
520W Setup,5.879396984924623,4.029792823499918
520W Setup,5.954773869346733,4.002548235300314
520W Setup,6.030150753768844,3.9759847618057003
