category,time_h,avg_brightness
Just Water,0.0,39.52300290621099
Just Water,2.0,73.88861367720416
Just Water,4.0,76.63905650443932
Just Water,6.0,83.16836119892896
Just Water,8.0,97.55956932148463
Just Water,10.0,100.48580660780362
Sand,0.0,39.52300290621099
Sand,2.0,102.94421953825444
Sand,4.0,112.75527556798538
Sand,6.0,138.4372544968319
Sand,8.0,153.6349736496189
Sand,10.0,155.5416619541152
Sand,12.0,152.76597666409907
Sand,16.0,152.64439305285433
Sand,20.0,150.237334393403
Sand,24.0,147.31090177425313
Silica Grit,0.0,39.52300290621099
Silica Grit,2.0,113.80791688283654
Silica Grit,4.0,135.47879595209986
Silica Grit,6.0,144.48849567334784
Silica Grit,8.0,150.65572616375357
Silica Grit,10.0,152.64218995520721
