Batch Type,Hours,Average
Just Water,0,1.7
Just Water,2,2.2142857142857144
Just Water,4,2.2857142857142856
Just Water,6,2.357142857142857
Just Water,8,2.9285714285714284
Just Water,10,3.2857142857142856
Sand,0,1.7
Sand,2,1.2857142857142858
Sand,4,1.2857142857142858
Sand,6,0.6428571428571429
Sand,8,1.4285714285714286
Sand,10,1.6428571428571428
Sand,12,0.7142857142857143
Sand,16,1.0
Sand,20,0.42857142857142855
Sand,24,0.5
Silica Grit,0,1.7
Silica Grit,2,0.9285714285714286
Silica Grit,4,0.9285714285714286
Silica Grit,6,0.42857142857142855
Silica Grit,8,0.42857142857142855
Silica Grit,10,0.14285714285714285
