period_end,ghi,cloud_opacity,air_temp
2024-01-01T01:00:00+00:00,0,83.4,26
2024-01-01T02:00:00+00:00,0,82.9,26
2024-01-01T03:00:00+00:00,0,74,26
2024-01-01T04:00:00+00:00,19,48.4,26
2024-01-01T05:00:00+00:00,78,58.7,26
2024-01-01T06:00:00+00:00,233,49.1,26
2024-01-01T07:00:00+00:00,433,34.6,26
2024-01-01T08:00:00+00:00,521,37.4,26
2024-01-01T09:00:00+00:00,572,40.2,26
2024-01-01T10:00:00+00:00,927,7.9,27
2024-01-01T11:00:00+00:00,755,23.6,27
2024-01-01T12:00:00+00:00,363,60,27
2024-01-01T13:00:00+00:00,144,81.1,27
2024-01-01T14:00:00+00:00,45,91.8,28
2024-01-01T15:00:00+00:00,30,90.6,28
2024-01-01T16:00:00+00:00,17,80.7,27
2024-01-01T17:00:00+00:00,0,93.8,27
2024-01-01T18:00:00+00:00,0,94.6,27
2024-01-01T19:00:00+00:00,0,91.9,27
2024-01-01T20:00:00+00:00,0,87.5,26
2024-01-01T21:00:00+00:00,0,78.2,26
2024-01-01T22:00:00+00:00,0,83.4,26
2024-01-01T23:00:00+00:00,0,86,26
2024-01-02T00:00:00+00:00,0,87.5,26
2024-01-02T01:00:00+00:00,0,87.8,26
2024-01-02T02:00:00+00:00,0,89.8,26
2024-01-02T03:00:00+00:00,0,77.4,26
2024-01-02T04:00:00+00:00,22,57.4,26
2024-01-02T05:00:00+00:00,140,36.1,26
2024-01-02T06:00:00+00:00,345,24,26
2024-01-02T07:00:00+00:00,625,7.2,26
2024-01-02T08:00:00+00:00,756,10.7,26
2024-01-02T09:00:00+00:00,794,18,27
2024-01-02T10:00:00+00:00,917,10.2,27
2024-01-02T11:00:00+00:00,962,3.9,27
2024-01-02T12:00:00+00:00,912,0.2,28
2024-01-02T13:00:00+00:00,760,0,28
2024-01-02T14:00:00+00:00,559,0,28
2024-01-02T15:00:00+00:00,326,1.4,28
2024-01-02T16:00:00+00:00,95,14.6,28
2024-01-02T17:00:00+00:00,1,36.8,28
2024-01-02T18:00:00+00:00,0,32.4,28
2024-01-02T19:00:00+00:00,0,51.5,28
2024-01-02T20:00:00+00:00,0,70.2,28
2024-01-02T21:00:00+00:00,0,51.3,27
2024-01-02T22:00:00+00:00,0,40.1,27
2024-01-02T23:00:00+00:00,0,44.5,26
2024-01-03T00:00:00+00:00,0,46.1,26
2024-01-03T01:00:00+00:00,0,92.3,26
2024-01-03T02:00:00+00:00,0,90.1,26
2024-01-03T03:00:00+00:00,0,77.3,26
2024-01-03T04:00:00+00:00,22,46.9,26
